#Sample Density: 10 10 10; Volume: Box: 3.000000 3.000000 3.000000
#Frame 0
#Center: 15.5892  4.2075 24.2203
#Basis Matrix:
#-0.257948  0.755079  0.602759
#-0.493499 -0.639318  0.589687
# 0.830615 -0.145352  0.537542
-3 -3 -3 0.0171829 0.156918 -0.0696561
-3 -3 -2.7 0.0122251 0.153658 -0.0364593
-3 -3 -2.4 0.00129805 0.147341 -0.014453
-3 -3 -2.1 -0.0110639 0.139687 -0.00321568
-3 -3 -1.8 -0.0223237 0.132451 0.000566408
-3 -3 -1.5 -0.0316355 0.126355 0.000207145
-3 -3 -1.2 -0.0390225 0.121424 -0.0020814
-3 -3 -0.9 -0.0448207 0.117437 -0.00508295
-3 -3 -0.6 -0.0494295 0.114134 -0.00821243
-3 -3 -0.3 -0.0532282 0.111283 -0.0112371
-3 -3 -3.33067e-16 -0.0565594 0.108687 -0.0141092
-3 -3 0.3 -0.0597361 0.106187 -0.016865
-3 -3 0.6 -0.0630598 0.103683 -0.0195518
-3 -3 0.9 -0.0668496 0.10117 -0.0221562
-3 -3 1.2 -0.0714886 0.0988075 -0.024521
-3 -3 1.5 -0.0774981 0.0970329 -0.0262438
-3 -3 1.8 -0.0856446 0.0967103 -0.0265573
-3 -3 2.1 -0.0970781 0.0992991 -0.0241829
-3 -3 2.4 -0.113479 0.10697 -0.017121
-3 -3 2.7 -0.137154 0.122514 -0.00231122
-3 -3 3 -0.170988 0.148804 0.0248553
-3 -2.7 -3 0.0279742 0.145841 -0.0711466
-3 -2.7 -2.7 0.0186433 0.144435 -0.0394997
-3 -2.7 -2.4 0.00446132 0.141822 -0.0194782
-3 -2.7 -2.1 -0.00968345 0.137713 -0.00910526
-3 -2.7 -1.8 -0.0217254 0.132871 -0.00512561
-3 -2.7 -1.5 -0.0312924 0.128069 -0.00479162
-3 -2.7 -1.2 -0.0386808 0.123732 -0.0062953
-3 -2.7 -0.9 -0.0443452 0.119994 -0.00860523
-3 -2.7 -0.6 -0.0487148 0.116822 -0.0112001
-3 -2.7 -0.3 -0.0521479 0.114107 -0.0138615
-3 -2.7 -3.33067e-16 -0.0549325 0.111701 -0.0165369
-3 -2.7 0.3 -0.0573006 0.109441 -0.0192451
-3 -2.7 0.6 -0.0594478 0.107163 -0.021993
-3 -2.7 0.9 -0.0615619 0.104722 -0.0246811
-3 -2.7 1.2 -0.0638708 0.10205 -0.0269847
-3 -2.7 1.5 -0.0667205 0.0992512 -0.0282064
